CSCI102,Computer Science level CSCI102
CSCI150,Computer Science level CSCI150
CSCI200,Computer Science level CSCI200
CSCI201,Computer Science level CSCI201,CSCI100,CSCI102
CSCI202,Computer Science level CSCI202
CSCI240,Computer Science level CSCI240
CSCI250,Computer Science level CSCI250,CSCI200,CSCI101
CSCI255,Computer Science level CSCI255
CSCI305,Computer Science level CSCI305
CSCI320,Computer Science level CSCI320,CSCI250,CSCI102
CSCI330,Computer Science level CSCI330,CSCI102,CSCI101
CSCI360,Computer Science level CSCI360
CSCI370,Computer Science level CSCI370
CSCI380,Computer Science level CSCI380
CSCI450,Computer Science level CSCI450
CSCI465,Computer Science level CSCI465,CSCI370,CSCI250
MATH201,Discrete Mathematics
CSCI300,Introduction to Algorithms,CSCI200,MATH201
CSCI350,Operating Systems,CSCI300
CSCI101,Introduction to Programming in C++,CSCI100
CSCI100,Introduction to Computer Science
CSCI301,Advanced Programming in C++,CSCI101
CSCI400,Large Software Development,CSCI301,CSCI350
CSCI200,Data Structures,CSCI101
MATH200,College Algebra
MATH100,Mathematics level MATH100
MATH101,Mathematics level MATH101
MATH102,Mathematics level MATH102
MATH150,Mathematics level MATH150
MATH202,Mathematics level MATH202
MATH240,Mathematics level MATH240,MATH100
MATH250,Mathematics level MATH250
MATH255,Mathematics level MATH255,MATH102
MATH300,Mathematics level MATH300,CSCI300
MATH305,Mathematics level MATH305,MATH150
MATH320,Mathematics level MATH320,CSCI255,CSCI465
MATH330,Mathematics level MATH330,MATH240,CSCI255
MATH360,Mathematics level MATH360
MATH370,Mathematics level MATH370
MATH380,Mathematics level MATH380,MATH300,CSCI305
MATH400,Mathematics level MATH400,CSCI202
MATH450,Mathematics level MATH450
MATH465,Mathematics level MATH465,MATH370,CSCI240
PHYS100,Physics level PHYS100
PHYS101,Physics level PHYS101
PHYS102,Physics level PHYS102
PHYS150,Physics level PHYS150
PHYS200,Physics level PHYS200
PHYS201,Physics level PHYS201
PHYS202,Physics level PHYS202
PHYS240,Physics level PHYS240,MATH240,MATH450
PHYS250,Physics level PHYS250,MATH102
PHYS255,Physics level PHYS255,PHYS101
PHYS300,Physics level PHYS300,CSCI320
PHYS305,Physics level PHYS305,CSCI202,CSCI250
PHYS320,Physics level PHYS320,MATH330
PHYS330,Physics level PHYS330,MATH465
PHYS360,Physics level PHYS360,CSCI465,PHYS201
PHYS370,Physics level PHYS370,MATH370,PHYS101
PHYS380,Physics level PHYS380,CSCI201,CSCI250
PHYS400,Physics level PHYS400,MATH201,MATH100
PHYS450,Physics level PHYS450,CSCI100
PHYS465,Physics level PHYS465
CHEM100,Chemistry level CHEM100
CHEM101,Chemistry level CHEM101
CHEM102,Chemistry level CHEM102
CHEM150,Chemistry level CHEM150
CHEM200,Chemistry level CHEM200
CHEM201,Chemistry level CHEM201
CHEM202,Chemistry level CHEM202,MATH200,MATH465
CHEM240,Chemistry level CHEM240,PHYS100,MATH400
CHEM250,Chemistry level CHEM250,MATH450,PHYS200
CHEM255,Chemistry level CHEM255,MATH300
CHEM300,Chemistry level CHEM300,CHEM101,CSCI100
CHEM305,Chemistry level CHEM305
CHEM320,Chemistry level CHEM320,CHEM200
CHEM330,Chemistry level CHEM330,PHYS102
CHEM360,Chemistry level CHEM360
CHEM370,Chemistry level CHEM370,MATH202
CHEM380,Chemistry level CHEM380,MATH305
CHEM400,Chemistry level CHEM400,CHEM202
CHEM450,Chemistry level CHEM450,MATH200,CSCI450
CHEM465,Chemistry level CHEM465,CHEM102,PHYS330
BIOL100,Biology level BIOL100
BIOL101,Biology level BIOL101
BIOL102,Biology level BIOL102
BIOL150,Biology level BIOL150
BIOL200,Biology level BIOL200
BIOL201,Biology level BIOL201,MATH150
BIOL202,Biology level BIOL202,CHEM240,PHYS101
BIOL240,Biology level BIOL240,CSCI201,CHEM305
BIOL250,Biology level BIOL250
BIOL255,Biology level BIOL255,PHYS250,CHEM300
BIOL300,Biology level BIOL300,CHEM101,CHEM400
BIOL305,Biology level BIOL305,MATH202,MATH305
BIOL320,Biology level BIOL320,CHEM102
BIOL330,Biology level BIOL330,PHYS400,CSCI450
BIOL360,Biology level BIOL360
BIOL370,Biology level BIOL370,PHYS320,PHYS465
BIOL380,Biology level BIOL380
BIOL400,Biology level BIOL400,CHEM255,PHYS305
BIOL450,Biology level BIOL450
BIOL465,Biology level BIOL465,MATH370
ENGL100,English level ENGL100
ENGL101,English level ENGL101
ENGL102,English level ENGL102
ENGL150,English level ENGL150
ENGL200,English level ENGL200
ENGL201,English level ENGL201,CHEM102
ENGL202,English level ENGL202,MATH101,ENGL102
ENGL240,English level ENGL240,CSCI465
ENGL250,English level ENGL250
ENGL255,English level ENGL255,CHEM450
ENGL300,English level ENGL300,BIOL100
ENGL305,English level ENGL305,MATH150,MATH305
ENGL320,English level ENGL320,CSCI320,ENGL150
ENGL330,English level ENGL330,PHYS320,CSCI330
ENGL360,English level ENGL360,BIOL200,CSCI102
ENGL370,English level ENGL370,PHYS202,CHEM300
ENGL380,English level ENGL380,MATH100,MATH465
ENGL400,English level ENGL400,CHEM380
ENGL450,English level ENGL450
ENGL465,English level ENGL465,PHYS370,PHYS102
HIST100,History level HIST100
HIST101,History level HIST101
HIST102,History level HIST102
HIST150,History level HIST150
HIST200,History level HIST200
HIST201,History level HIST201,HIST101
HIST202,History level HIST202,CSCI240,CSCI300
HIST240,History level HIST240,ENGL465,ENGL380
HIST250,History level HIST250,ENGL465,MATH150
HIST255,History level HIST255
HIST300,History level HIST300
HIST305,History level HIST305,MATH240
HIST320,History level HIST320,HIST305
HIST330,History level HIST330
HIST360,History level HIST360,CHEM200
HIST370,History level HIST370,HIST200,CHEM370
HIST380,History level HIST380
HIST400,History level HIST400,PHYS250,ENGL240
HIST450,History level HIST450,CHEM370,HIST202
HIST465,History level HIST465
SOCI100,Sociology level SOCI100
SOCI101,Sociology level SOCI101
SOCI102,Sociology level SOCI102
SOCI150,Sociology level SOCI150
SOCI200,Sociology level SOCI200
SOCI201,Sociology level SOCI201,SOCI150,ENGL300
SOCI202,Sociology level SOCI202,ENGL101,ENGL201
SOCI240,Sociology level SOCI240,HIST202
SOCI250,Sociology level SOCI250
SOCI255,Sociology level SOCI255
SOCI300,Sociology level SOCI300,BIOL465
SOCI305,Sociology level SOCI305,PHYS300
SOCI320,Sociology level SOCI320,MATH300
SOCI330,Sociology level SOCI330,CHEM380,HIST450
SOCI360,Sociology level SOCI360,CSCI320
SOCI370,Sociology level SOCI370,BIOL305,BIOL100
SOCI380,Sociology level SOCI380
SOCI400,Sociology level SOCI400
SOCI450,Sociology level SOCI450,SOCI202,PHYS100
SOCI465,Sociology level SOCI465,SOCI320,CHEM320
PSYC100,Psychology level PSYC100
PSYC101,Psychology level PSYC101
PSYC102,Psychology level PSYC102
PSYC150,Psychology level PSYC150
PSYC200,Psychology level PSYC200
PSYC201,Psychology level PSYC201
PSYC202,Psychology level PSYC202
PSYC240,Psychology level PSYC240,MATH101,CSCI400
PSYC250,Psychology level PSYC250,ENGL200,CSCI370
PSYC255,Psychology level PSYC255
PSYC300,Psychology level PSYC300,SOCI255
PSYC305,Psychology level PSYC305,SOCI320
PSYC320,Psychology level PSYC320,MATH202
PSYC330,Psychology level PSYC330
PSYC360,Psychology level PSYC360
PSYC370,Psychology level PSYC370
PSYC380,Psychology level PSYC380,CSCI300
PSYC400,Psychology level PSYC400,CSCI450
PSYC450,Psychology level PSYC450,HIST305
PSYC465,Psychology level PSYC465,ENGL300,PHYS101
ECON100,Economics level ECON100
ECON101,Economics level ECON101
ECON102,Economics level ECON102
ECON150,Economics level ECON150
ECON200,Economics level ECON200
ECON201,Economics level ECON201
ECON202,Economics level ECON202
ECON240,Economics level ECON240,PSYC300
ECON250,Economics level ECON250,PSYC380
ECON255,Economics level ECON255
ECON300,Economics level ECON300,SOCI100
ECON305,Economics level ECON305
ECON320,Economics level ECON320,BIOL255,MATH380
ECON330,Economics level ECON330,PHYS202
ECON360,Economics level ECON360
ECON370,Economics level ECON370
ECON380,Economics level ECON380
ECON400,Economics level ECON400,SOCI200,MATH380
ECON450,Economics level ECON450
ECON465,Economics level ECON465
PHIL100,Philosophy level PHIL100
PHIL101,Philosophy level PHIL101
PHIL102,Philosophy level PHIL102
PHIL150,Philosophy level PHIL150
PHIL200,Philosophy level PHIL200
PHIL201,Philosophy level PHIL201,ENGL240
PHIL202,Philosophy level PHIL202,ENGL202
PHIL240,Philosophy level PHIL240,SOCI370,PSYC450
PHIL250,Philosophy level PHIL250
PHIL255,Philosophy level PHIL255
PHIL300,Philosophy level PHIL300,CHEM465
PHIL305,Philosophy level PHIL305
PHIL320,Philosophy level PHIL320
PHIL330,Philosophy level PHIL330,CSCI330
PHIL360,Philosophy level PHIL360,PSYC300
PHIL370,Philosophy level PHIL370,CSCI202,ECON370
PHIL380,Philosophy level PHIL380,PSYC320
PHIL400,Philosophy level PHIL400,ENGL400
PHIL450,Philosophy level PHIL450,PSYC305,ECON300
PHIL465,Philosophy level PHIL465,PHYS240
ARTS100,Art level ARTS100
ARTS101,Art level ARTS101
ARTS102,Art level ARTS102
ARTS150,Art level ARTS150
ARTS200,Art level ARTS200
ARTS201,Art level ARTS201,ENGL255
ARTS202,Art level ARTS202,SOCI300,SOCI202
ARTS240,Art level ARTS240,PHYS201
ARTS250,Art level ARTS250
ARTS255,Art level ARTS255
ARTS300,Art level ARTS300
ARTS305,Art level ARTS305
ARTS320,Art level ARTS320,ECON200
ARTS330,Art level ARTS330,PSYC201,BIOL255
ARTS360,Art level ARTS360
ARTS370,Art level ARTS370,HIST101
ARTS380,Art level ARTS380,ENGL255,ARTS370
ARTS400,Art level ARTS400,SOCI450,CSCI330
ARTS450,Art level ARTS450,PHYS300,BIOL100
ARTS465,Art level ARTS465
MUSC100,Music level MUSC100
MUSC101,Music level MUSC101
MUSC102,Music level MUSC102
MUSC150,Music level MUSC150
MUSC200,Music level MUSC200
MUSC201,Music level MUSC201
MUSC202,Music level MUSC202,BIOL450
MUSC240,Music level MUSC240,CSCI240,PHIL400
MUSC250,Music level MUSC250
MUSC255,Music level MUSC255
MUSC300,Music level MUSC300,HIST201,SOCI240
MUSC305,Music level MUSC305
MUSC320,Music level MUSC320,MATH360,PSYC202
MUSC330,Music level MUSC330,PHIL240,PHIL202
MUSC360,Music level MUSC360,HIST100,CSCI400
MUSC370,Music level MUSC370
MUSC380,Music level MUSC380,HIST330
MUSC400,Music level MUSC400
MUSC450,Music level MUSC450
MUSC465,Music level MUSC465
LITR100,Literature level LITR100
LITR101,Literature level LITR101
LITR102,Literature level LITR102
LITR150,Literature level LITR150
LITR200,Literature level LITR200
LITR201,Literature level LITR201
LITR202,Literature level LITR202
LITR240,Literature level LITR240,SOCI201
LITR250,Literature level LITR250,CSCI250,PHIL255
LITR255,Literature level LITR255,CHEM370
LITR300,Literature level LITR300
LITR305,Literature level LITR305
LITR320,Literature level LITR320,SOCI101
LITR330,Literature level LITR330
LITR360,Literature level LITR360
LITR370,Literature level LITR370,MUSC465,PHYS200
LITR380,Literature level LITR380,PHYS380,CSCI450
LITR400,Literature level LITR400
LITR450,Literature level LITR450,PHYS300
LITR465,Literature level LITR465,ARTS240,ENGL305
ASTR100,Astronomy level ASTR100
ASTR101,Astronomy level ASTR101
ASTR102,Astronomy level ASTR102
ASTR150,Astronomy level ASTR150
ASTR200,Astronomy level ASTR200
ASTR201,Astronomy level ASTR201
ASTR202,Astronomy level ASTR202,SOCI300
ASTR240,Astronomy level ASTR240,SOCI400
ASTR250,Astronomy level ASTR250
ASTR255,Astronomy level ASTR255,CHEM305
ASTR300,Astronomy level ASTR300
ASTR305,Astronomy level ASTR305,LITR305
ASTR320,Astronomy level ASTR320,PHYS200
ASTR330,Astronomy level ASTR330
ASTR360,Astronomy level ASTR360
ASTR370,Astronomy level ASTR370,SOCI255
ASTR380,Astronomy level ASTR380
ASTR400,Astronomy level ASTR400,LITR320
ASTR450,Astronomy level ASTR450,PHIL101,ECON102
ASTR465,Astronomy level ASTR465
GEOL100,Geology level GEOL100
GEOL101,Geology level GEOL101
GEOL102,Geology level GEOL102
GEOL150,Geology level GEOL150
GEOL200,Geology level GEOL200
GEOL201,Geology level GEOL201
GEOL202,Geology level GEOL202,ARTS100,MATH370
GEOL240,Geology level GEOL240,ASTR201
GEOL250,Geology level GEOL250,PSYC465,MUSC250
GEOL255,Geology level GEOL255
GEOL300,Geology level GEOL300,HIST400
GEOL305,Geology level GEOL305
GEOL320,Geology level GEOL320,BIOL200,LITR100
GEOL330,Geology level GEOL330,SOCI150,ECON250
GEOL360,Geology level GEOL360,GEOL200,ECON360
GEOL370,Geology level GEOL370,PSYC320
GEOL380,Geology level GEOL380
GEOL400,Geology level GEOL400,PSYC360,CHEM400
GEOL450,Geology level GEOL450
GEOL465,Geology level GEOL465,LITR305,SOCI255
STAT100,Statistics level STAT100
STAT101,Statistics level STAT101
STAT102,Statistics level STAT102
STAT150,Statistics level STAT150
STAT200,Statistics level STAT200
STAT201,Statistics level STAT201,ASTR300,ENGL300
STAT202,Statistics level STAT202
STAT240,Statistics level STAT240,STAT201,MUSC201
STAT250,Statistics level STAT250,MUSC250
STAT255,Statistics level STAT255,SOCI255,CSCI255
STAT300,Statistics level STAT300
STAT305,Statistics level STAT305,PHYS202,STAT250
STAT320,Statistics level STAT320,SOCI305,MUSC450
STAT330,Statistics level STAT330
STAT360,Statistics level STAT360
STAT370,Statistics level STAT370,ASTR360,HIST202
STAT380,Statistics level STAT380,PHYS330
STAT400,Statistics level STAT400,HIST101,ARTS202
STAT450,Statistics level STAT450,PSYC250,ENGL202
STAT465,Statistics level STAT465,ENGL320,ECON305
ENGR100,Engineering level ENGR100
ENGR101,Engineering level ENGR101
ENGR102,Engineering level ENGR102
ENGR150,Engineering level ENGR150
ENGR200,Engineering level ENGR200
ENGR201,Engineering level ENGR201
ENGR202,Engineering level ENGR202
ENGR240,Engineering level ENGR240,CHEM380,CHEM465
ENGR250,Engineering level ENGR250,CSCI320,ASTR100
ENGR255,Engineering level ENGR255
ENGR300,Engineering level ENGR300,PHYS255,ARTS240
ENGR305,Engineering level ENGR305,MUSC300
ENGR320,Engineering level ENGR320,HIST380,PHIL101
ENGR330,Engineering level ENGR330,MUSC255
ENGR360,Engineering level ENGR360,SOCI380
ENGR370,Engineering level ENGR370,ENGR101,SOCI465
ENGR380,Engineering level ENGR380
ENGR400,Engineering level ENGR400,PHIL300,GEOL380
ENGR450,Engineering level ENGR450,SOCI250,LITR370
ENGR465,Engineering level ENGR465
BUSI100,Business level BUSI100
BUSI101,Business level BUSI101
BUSI102,Business level BUSI102
BUSI150,Business level BUSI150
BUSI200,Business level BUSI200
BUSI201,Business level BUSI201,ARTS305,GEOL330
BUSI202,Business level BUSI202,MATH255
BUSI240,Business level BUSI240,ENGR300
BUSI250,Business level BUSI250,ENGL201,CHEM360
BUSI255,Business level BUSI255,ASTR300,PSYC100
BUSI300,Business level BUSI300,LITR100,HIST380
BUSI305,Business level BUSI305
BUSI320,Business level BUSI320,STAT465
BUSI330,Business level BUSI330,SOCI100
BUSI360,Business level BUSI360
BUSI370,Business level BUSI370,PHYS320,SOCI240
BUSI380,Business level BUSI380
BUSI400,Business level BUSI400,MUSC101,STAT101
BUSI450,Business level BUSI450
BUSI465,Business level BUSI465,ASTR250,PSYC320
ACCT100,Accounting level ACCT100
ACCT101,Accounting level ACCT101
ACCT102,Accounting level ACCT102
ACCT150,Accounting level ACCT150
ACCT200,Accounting level ACCT200
ACCT201,Accounting level ACCT201,HIST450
ACCT202,Accounting level ACCT202,STAT360,SOCI465
ACCT240,Accounting level ACCT240
ACCT250,Accounting level ACCT250,PHYS400,BUSI100
ACCT255,Accounting level ACCT255,BUSI300,PSYC370
ACCT300,Accounting level ACCT300,BUSI320,CHEM255
ACCT305,Accounting level ACCT305,HIST250
ACCT320,Accounting level ACCT320,ASTR202
ACCT330,Accounting level ACCT330,STAT305
ACCT360,Accounting level ACCT360
ACCT370,Accounting level ACCT370,CSCI202
ACCT380,Accounting level ACCT380,ACCT101
ACCT400,Accounting level ACCT400,MATH102,PSYC330
ACCT450,Accounting level ACCT450,BUSI370
ACCT465,Accounting level ACCT465
MGMT100,Management level MGMT100
MGMT101,Management level MGMT101
MGMT102,Management level MGMT102
MGMT150,Management level MGMT150
MGMT200,Management level MGMT200
MGMT201,Management level MGMT201
MGMT202,Management level MGMT202,BUSI320
MGMT240,Management level MGMT240
MGMT250,Management level MGMT250,MUSC250,HIST360
MGMT255,Management level MGMT255,MUSC370,CSCI240
MGMT300,Management level MGMT300
MGMT305,Management level MGMT305
MGMT320,Management level MGMT320
MGMT330,Management level MGMT330
MGMT360,Management level MGMT360,LITR370,PSYC100
MGMT370,Management level MGMT370,CSCI100
MGMT380,Management level MGMT380
MGMT400,Management level MGMT400,HIST150
MGMT450,Management level MGMT450
MGMT465,Management level MGMT465
MARK100,Marketing level MARK100
MARK101,Marketing level MARK101
MARK102,Marketing level MARK102
MARK150,Marketing level MARK150
MARK200,Marketing level MARK200
MARK201,Marketing level MARK201,SOCI250,BUSI240
MARK202,Marketing level MARK202
MARK240,Marketing level MARK240,ENGR400,ARTS102
MARK250,Marketing level MARK250,ACCT250,ACCT330
MARK255,Marketing level MARK255
MARK300,Marketing level MARK300,CSCI305
MARK305,Marketing level MARK305,CHEM450,MATH300
MARK320,Marketing level MARK320,ACCT255
MARK330,Marketing level MARK330,ECON305
MARK360,Marketing level MARK360,CSCI370,MATH255
MARK370,Marketing level MARK370,SOCI150,MGMT240
MARK380,Marketing level MARK380
MARK400,Marketing level MARK400
MARK450,Marketing level MARK450,ECON255
MARK465,Marketing level MARK465,ENGR305,ECON150
FINC100,Finance level FINC100
FINC101,Finance level FINC101
FINC102,Finance level FINC102
FINC150,Finance level FINC150
FINC200,Finance level FINC200
FINC201,Finance level FINC201,ARTS255
FINC202,Finance level FINC202,ARTS201,ACCT300
FINC240,Finance level FINC240
FINC250,Finance level FINC250
FINC255,Finance level FINC255,CHEM200
FINC300,Finance level FINC300,MUSC101
FINC305,Finance level FINC305
FINC320,Finance level FINC320,PHIL255,PHYS102
FINC330,Finance level FINC330,ACCT250,MUSC250
FINC360,Finance level FINC360,BUSI465,PSYC200
FINC370,Finance level FINC370
FINC380,Finance level FINC380,CSCI100,MATH202
FINC400,Finance level FINC400,PHYS380,ENGR360
FINC450,Finance level FINC450,SOCI240,ACCT360
FINC465,Finance level FINC465,ACCT100
INFO100,Information Systems level INFO100
INFO101,Information Systems level INFO101
INFO102,Information Systems level INFO102
INFO150,Information Systems level INFO150
INFO200,Information Systems level INFO200
INFO201,Information Systems level INFO201,ECON360
INFO202,Information Systems level INFO202
INFO240,Information Systems level INFO240,MUSC250
INFO250,Information Systems level INFO250
INFO255,Information Systems level INFO255,BIOL450,MATH400
INFO300,Information Systems level INFO300
INFO305,Information Systems level INFO305
INFO320,Information Systems level INFO320,PSYC300
INFO330,Information Systems level INFO330,MATH150
INFO360,Information Systems level INFO360,HIST465,MARK201
INFO370,Information Systems level INFO370,MUSC465,FINC300
INFO380,Information Systems level INFO380,ASTR380
INFO400,Information Systems level INFO400,CHEM400,MARK100
INFO450,Information Systems level INFO450,STAT330
INFO465,Information Systems level INFO465,MUSC250,ASTR201
CYBR100,Cybersecurity level CYBR100
CYBR101,Cybersecurity level CYBR101
CYBR102,Cybersecurity level CYBR102
CYBR150,Cybersecurity level CYBR150
CYBR200,Cybersecurity level CYBR200
CYBR201,Cybersecurity level CYBR201,BIOL465
CYBR202,Cybersecurity level CYBR202,ENGR360
CYBR240,Cybersecurity level CYBR240,STAT400,ASTR240
CYBR250,Cybersecurity level CYBR250,PSYC250,MARK370
CYBR255,Cybersecurity level CYBR255
CYBR300,Cybersecurity level CYBR300,CSCI202,BUSI400
CYBR305,Cybersecurity level CYBR305,PSYC320
CYBR320,Cybersecurity level CYBR320,ENGL370,PHYS200
CYBR330,Cybersecurity level CYBR330,SOCI250
CYBR360,Cybersecurity level CYBR360,PHYS250
CYBR370,Cybersecurity level CYBR370
CYBR380,Cybersecurity level CYBR380,LITR101
CYBR400,Cybersecurity level CYBR400,CYBR305
CYBR450,Cybersecurity level CYBR450,HIST101,INFO330
CYBR465,Cybersecurity level CYBR465,ENGR150
DATA100,Data Science level DATA100
DATA101,Data Science level DATA101
DATA102,Data Science level DATA102
DATA150,Data Science level DATA150
DATA200,Data Science level DATA200
DATA201,Data Science level DATA201,PHYS465
DATA202,Data Science level DATA202,INFO465,ENGL465
DATA240,Data Science level DATA240
DATA250,Data Science level DATA250,STAT250
DATA255,Data Science level DATA255
DATA300,Data Science level DATA300
DATA305,Data Science level DATA305,BIOL202,HIST202
DATA320,Data Science level DATA320
DATA330,Data Science level DATA330
DATA360,Data Science level DATA360,ENGR150
DATA370,Data Science level DATA370
DATA380,Data Science level DATA380,CHEM240,INFO465
DATA400,Data Science level DATA400,BIOL200,FINC450
DATA450,Data Science level DATA450
DATA465,Data Science level DATA465,MGMT200
